Date,Close,High,Low,Open,Volume
2024-02-15,345.45001220703125,345.45001220703125,329.0,329.0,2864400
2024-02-16,362.70001220703125,362.70001220703125,362.70001220703125,362.70001220703125,142800
2024-02-19,380.79998779296875,380.79998779296875,380.79998779296875,380.79998779296875,160800
2024-02-20,399.79998779296875,399.79998779296875,361.79998779296875,381.0,1694400
2024-02-21,412.95001220703125,419.75,382.29998779296875,405.0,686400
2024-02-22,392.29998779296875,410.0,392.29998779296875,405.0,477600
2024-02-23,382.8999938964844,403.0,373.29998779296875,385.0,368400
2024-02-26,394.0,399.5,367.25,386.0,283200
2024-02-27,389.54998779296875,399.79998779296875,378.25,399.70001220703125,189600
2024-02-28,409.0,409.0,390.20001220703125,392.95001220703125,525600
2024-02-29,389.3999938964844,417.0,377.0,409.0,505200
2024-03-01,393.6000061035156,413.8500061035156,388.1499938964844,398.0,274800
2024-03-04,357.3999938964844,394.95001220703125,343.79998779296875,387.95001220703125,393600
2024-03-05,326.6000061035156,355.0,320.6000061035156,355.0,488400
2024-03-06,311.6499938964844,326.8999938964844,291.5,326.8999938964844,494400
2024-03-07,339.75,343.0,311.6499938964844,311.6499938964844,228000
2024-03-11,301.8999938964844,351.0,298.0,343.6000061035156,242400
2024-03-12,291.04998779296875,308.8500061035156,275.0,301.45001220703125,300000
2024-03-13,258.6000061035156,297.0,252.0,292.20001220703125,390000
2024-03-14,294.6499938964844,310.29998779296875,235.0,250.0,372000
2024-03-18,294.3500061035156,310.0,290.0,309.0,75600
2024-03-19,293.54998779296875,315.0,288.0,311.0,139200
2024-03-20,275.5,296.0,272.0,293.54998779296875,108000
2024-03-21,277.3500061035156,292.95001220703125,274.0,283.6000061035156,259200
2024-03-22,268.8500061035156,283.0,267.0,283.0,228000
2024-03-26,257.95001220703125,278.0,256.5,272.8999938964844,326400
2024-03-27,276.95001220703125,284.0,263.0,263.0,357600
2024-03-28,332.29998779296875,332.29998779296875,283.95001220703125,283.95001220703125,481200
2024-04-01,397.8999938964844,398.75,355.0,359.95001220703125,463200
2024-04-02,379.45001220703125,407.0,362.0,407.0,282000
2024-04-03,376.3999938964844,395.0,366.0,372.0,156000
2024-04-04,373.20001220703125,390.95001220703125,368.0,380.0,140400
2024-04-05,363.6499938964844,371.0,361.0,371.0,104400
2024-04-08,350.0,377.0,340.0,367.0,184800
2024-04-09,374.79998779296875,385.0,338.0,349.95001220703125,420000
2024-04-10,392.8500061035156,402.0,366.1499938964844,378.0,417600
2024-04-12,424.5,432.1000061035156,399.0,402.0,909600
2024-04-15,408.75,443.75,396.0,424.5,591600
2024-04-16,442.3500061035156,447.95001220703125,403.0,410.0,468000
2024-04-18,464.45001220703125,464.45001220703125,458.0,460.0,133200
2024-04-19,487.6499938964844,487.6499938964844,469.0,469.0,258000
2024-04-22,512.0,512.0,512.0,512.0,33600
2024-04-23,537.5999755859375,537.5999755859375,537.5999755859375,537.5999755859375,28800
2024-04-24,510.75,544.0,510.75,544.0,148800
2024-04-25,500.5,531.0,485.25,485.25,636000
2024-04-26,510.1000061035156,514.5,485.0,508.0,201600
2024-04-29,535.5999755859375,535.5999755859375,530.5,533.0,91600
2024-04-30,562.3499755859375,562.3499755859375,562.3499755859375,562.3499755859375,26800
2024-05-02,590.4500122070312,590.4500122070312,551.0,590.4500122070312,533200
2024-05-03,619.9500122070312,619.9500122070312,598.0,600.0,225600
2024-05-06,650.9000244140625,650.9000244140625,588.9500122070312,650.9000244140625,337600
2024-05-07,683.4000244140625,683.4000244140625,673.0,683.0,176400
2024-05-08,717.5499877929688,717.5499877929688,705.0,717.5499877929688,141200
2024-05-09,681.7000122070312,753.4000244140625,681.7000122070312,748.0,187600
2024-05-10,647.6500244140625,666.4500122070312,647.6500244140625,647.6500244140625,326400
2024-05-13,615.2999877929688,640.0,615.2999877929688,640.0,50000
2024-05-14,646.0499877929688,646.0499877929688,590.0,590.0,156400
2024-05-15,678.3499755859375,678.3499755859375,653.5,678.3499755859375,184000
2024-05-16,682.0499877929688,712.0,645.0,712.0,177200
2024-05-17,653.2999877929688,689.7999877929688,647.9500122070312,675.0,143600
