Date,Close,High,Low,Open,Volume
2023-06-20,770.0499877929688,780.0,769.0,770.0,2200
2023-06-21,784.5,785.0,772.0,775.1500244140625,2600
2023-06-22,768.0,798.0,768.0,794.0,5200
2023-06-23,766.6500244140625,794.0,751.0,780.0,5800
2023-06-26,763.0,765.0999755859375,761.0,761.0499877929688,2400
2023-06-27,780.0,788.0,770.0,770.0,3200
2023-06-28,790.0,807.0,789.0,807.0,6000
2023-06-30,780.0,799.0,771.0499877929688,790.0,2600
2023-07-03,780.0,798.7999877929688,780.0,790.0,10200
2023-07-04,772.0,780.0,765.0499877929688,780.0,1600
2023-07-05,761.0,761.0,759.75,759.75,400
2023-07-06,787.5,790.0,760.0499877929688,760.0499877929688,3600
2023-07-07,758.7999877929688,795.0,735.0,795.0,5400
2023-07-10,769.9500122070312,769.9500122070312,760.0,760.0,1800
2023-07-11,750.0,769.9500122070312,742.5,766.0,3800
2023-07-12,756.3499755859375,779.5,750.0,779.5,5000
2023-07-13,758.0,761.8499755859375,758.0,761.7999877929688,2600
2023-07-14,751.0,757.0,746.0,757.0,2000
2023-07-17,751.7000122070312,759.5,747.8499755859375,759.2999877929688,5000
2023-07-18,742.4000244140625,755.0,742.4000244140625,755.0,1000
2023-07-19,740.75,760.0,735.5499877929688,749.7999877929688,7000
2023-07-20,735.9000244140625,742.0999755859375,732.0,742.0999755859375,3600
2023-07-21,728.1500244140625,740.0,728.0,735.8499755859375,7400
2023-07-24,732.0499877929688,750.0,728.0,750.0,4800
2023-07-25,737.75,740.0,730.0,732.25,3800
2023-07-26,786.0,847.0,730.0,737.75,24800
2023-07-27,799.75,861.0,790.0,790.0,36400
2023-07-28,824.2999877929688,830.0,790.0,799.75,8600
2023-07-31,831.25,840.0,800.0,839.9500122070312,9800
2023-08-01,807.7000122070312,840.0,800.0,839.9500122070312,6800
2023-08-02,817.2000122070312,826.0499877929688,799.0,814.5,10600
2023-08-03,834.4500122070312,837.9500122070312,800.0,817.2000122070312,5200
2023-08-04,808.4500122070312,838.0,799.9500122070312,838.0,10400
2023-08-07,815.0,833.7000122070312,804.5999755859375,810.0,6200
2023-08-08,805.25,827.9000244140625,803.0,803.0,2400
2023-08-09,824.4500122070312,831.5999755859375,809.0,831.5999755859375,3400
