Date,Close,High,Low,Open,Volume
2024-04-09,176.25,183.75,167.10000610351562,175.0,3454400
2024-04-10,167.4499969482422,167.4499969482422,167.4499969482422,167.4499969482422,56000
2024-04-12,175.8000030517578,175.8000030517578,159.10000610351562,159.10000610351562,1113600
2024-04-15,184.5500030517578,184.5500030517578,169.9499969482422,170.0,1068800
2024-04-16,193.75,193.75,193.75,193.75,107200
2024-04-18,203.39999389648438,203.39999389648438,203.39999389648438,203.39999389648438,36800
2024-04-19,213.5500030517578,213.5500030517578,203.39999389648438,213.5500030517578,577600
2024-04-22,224.1999969482422,224.1999969482422,224.1999969482422,224.1999969482422,38400
2024-04-23,221.85000610351562,235.39999389648438,213.0,235.39999389648438,683200
2024-04-24,232.85000610351562,232.89999389648438,210.75,210.75,696000
2024-04-25,215.25,233.0,208.10000610351562,225.0,436800
2024-04-26,208.75,224.0,198.0,211.0500030517578,307200
2024-04-29,237.64999389648438,244.39999389648438,202.0,213.0,566400
2024-04-30,225.89999389648438,251.8000030517578,223.39999389648438,244.0,211200
2024-05-02,229.5500030517578,238.0,220.0,224.0,369600
2024-05-03,234.35000610351562,236.0,225.0,231.0,156800
2024-05-06,225.0500030517578,241.3000030517578,219.0,239.0,249600
2024-05-07,270.04998779296875,270.04998779296875,231.0500030517578,234.0,932800
2024-05-08,323.5,324.04998779296875,273.5,282.0,1483200
2024-05-09,291.1499938964844,331.70001220703125,291.1499938964844,322.0,374400
2024-05-10,272.70001220703125,284.0,262.04998779296875,281.0,852800
2024-05-13,248.8000030517578,278.0,245.4499969482422,278.0,428800
2024-05-14,261.0,261.20001220703125,240.0,244.9499969482422,420800
2024-05-15,247.9499969482422,264.0,247.9499969482422,261.95001220703125,328000
2024-05-16,235.5500030517578,248.9499969482422,235.5500030517578,248.9499969482422,294400
2024-05-17,247.3000030517578,247.3000030517578,228.0,234.39999389648438,217600
2024-05-21,249.4499969482422,253.85000610351562,244.0,253.5,92800
2024-05-22,244.10000610351562,254.9499969482422,243.25,251.10000610351562,104000
2024-05-23,235.75,249.5,231.89999389648438,245.0,147200
2024-05-24,227.1999969482422,238.0,225.6999969482422,230.0500030517578,152000
2024-05-27,215.85000610351562,215.85000610351562,215.85000610351562,215.85000610351562,30400
2024-05-28,205.0500030517578,205.0500030517578,205.0500030517578,205.0500030517578,14400
2024-05-29,194.8000030517578,205.0500030517578,194.8000030517578,194.8000030517578,809600
2024-05-30,185.10000610351562,197.1999969482422,185.10000610351562,193.0,137600
2024-05-31,175.9499969482422,186.89999389648438,175.85000610351562,175.85000610351562,308800
2024-06-03,168.10000610351562,184.6999969482422,167.14999389648438,184.6999969482422,372800
2024-06-04,159.6999969482422,165.0,159.6999969482422,161.1999969482422,70400
2024-06-05,163.3000030517578,166.0,151.75,151.75,232000
2024-06-06,155.14999389648438,165.0,155.14999389648438,165.0,134400
2024-06-07,157.14999389648438,162.89999389648438,148.5500030517578,150.5500030517578,424000
2024-06-10,164.85000610351562,165.0,150.25,162.60000610351562,377600
2024-06-11,173.0500030517578,173.0500030517578,172.0,172.0,118400
2024-06-12,181.6999969482422,181.6999969482422,181.6999969482422,181.6999969482422,35200
2024-06-13,190.75,190.75,190.75,190.75,4800
2024-06-14,189.75,196.5,182.0,190.75,472000
2024-06-18,189.8000030517578,196.25,185.0,185.0,91200
2024-06-19,183.35000610351562,189.0,181.25,186.60000610351562,68800
2024-06-20,183.14999389648438,185.0,182.0,183.35000610351562,62400
2024-06-21,174.0,183.0,174.0,183.0,68800
2024-06-24,182.6999969482422,182.6999969482422,167.25,174.0,99200
2024-06-25,191.8000030517578,191.8000030517578,190.9499969482422,191.8000030517578,38400
2024-06-26,195.8000030517578,201.35000610351562,189.9499969482422,201.35000610351562,236800
2024-06-27,186.10000610351562,194.0,186.0500030517578,194.0,86400
2024-06-28,180.1999969482422,184.0,178.89999389648438,183.5,48000
2024-07-01,171.4499969482422,182.85000610351562,171.1999969482422,180.1999969482422,307200
2024-07-02,180.0,180.0,177.0,178.0,112000
2024-07-03,189.0,189.0,186.0,186.5,60800
2024-07-04,198.4499969482422,198.4499969482422,187.89999389648438,196.8000030517578,195200
2024-07-05,188.60000610351562,204.0,188.5500030517578,204.0,315200
2024-07-08,179.1999969482422,187.6999969482422,179.1999969482422,185.5500030517578,139200
2024-07-09,177.3000030517578,182.4499969482422,174.0500030517578,177.3000030517578,67200
2024-07-10,174.60000610351562,179.0,168.6999969482422,178.0,78400
2024-07-11,181.8000030517578,181.8000030517578,175.0,175.0,14400
2024-07-12,175.1999969482422,181.8000030517578,173.0500030517578,181.8000030517578,43200
2024-07-15,183.9499969482422,183.9499969482422,172.5,175.1999969482422,214400
2024-07-16,193.10000610351562,193.10000610351562,186.35000610351562,187.0,246400
2024-07-18,188.1999969482422,199.0,187.0500030517578,191.0,126400
2024-07-19,179.6999969482422,191.9499969482422,178.8000030517578,188.0,97600
2024-07-22,171.5500030517578,184.9499969482422,170.75,179.3000030517578,188800
2024-07-23,178.3000030517578,180.10000610351562,170.0,170.10000610351562,145600
2024-07-24,185.14999389648438,187.1999969482422,178.3000030517578,178.3000030517578,72000
2024-07-25,183.1999969482422,193.60000610351562,180.5,187.9499969482422,246400
2024-07-26,178.85000610351562,191.0,175.60000610351562,180.6999969482422,150400
2024-07-29,174.10000610351562,182.0,173.10000610351562,175.0,209600
2024-07-30,181.8000030517578,182.8000030517578,172.0500030517578,174.5,41600
2024-07-31,176.6999969482422,181.10000610351562,173.8000030517578,177.5,121600
2024-08-01,172.0,178.0,172.0,174.5,30400
2024-08-02,164.1999969482422,171.35000610351562,163.39999389648438,167.10000610351562,324800
2024-08-05,156.0,159.9499969482422,156.0,157.10000610351562,128000
2024-08-06,151.35000610351562,162.9499969482422,149.0,159.5,131200
2024-08-07,159.5,161.5,154.0,154.0,38400
2024-08-08,154.6999969482422,157.0,153.5,157.0,70400
