Date,Close,High,Low,Open,Volume
2023-09-07,472.5,472.5,427.5,450.0,388800
2023-09-08,496.1000061035156,496.1000061035156,451.0,489.70001220703125,177000
2023-09-11,482.5,500.0,474.20001220703125,491.0,70200
2023-09-12,458.3999938964844,498.0,458.3999938964844,482.5,34800
2023-09-13,452.6000061035156,455.0,435.5,450.0,35400
2023-09-14,473.1499938964844,475.20001220703125,442.04998779296875,442.04998779296875,30000
2023-09-15,485.8500061035156,493.8500061035156,475.0,480.0,31800
2023-09-18,466.79998779296875,489.0,466.1000061035156,489.0,12600
2023-09-20,454.95001220703125,459.95001220703125,444.25,454.0,24000
2023-09-21,436.0,461.8500061035156,432.20001220703125,461.8500061035156,18600
2023-09-22,420.5,432.0,400.0,432.0,25800
2023-09-25,477.3500061035156,495.0,424.0,424.0,46800
2023-09-26,445.0,468.29998779296875,438.0,468.29998779296875,9600
2023-09-27,468.0,470.0,448.0,449.0,8400
2023-09-28,466.8999938964844,466.8999938964844,460.0,460.0,1800
2023-09-29,471.8999938964844,471.8999938964844,464.0,464.75,6000
2023-10-03,450.0,460.0,450.0,460.0,1800
2023-10-04,445.0,455.0,440.0,450.0,3000
2023-10-05,459.0,460.0,450.0,450.0,2400
2023-10-06,442.0,445.0,440.0,440.1000061035156,3000
2023-10-09,421.0,445.0,421.0,445.0,6000
2023-10-10,439.3999938964844,487.5,419.0,420.0,35400
2023-10-11,458.1000061035156,460.0,448.0,449.04998779296875,5400
2023-10-12,465.0,470.0,465.0,469.8500061035156,6600
2023-10-13,470.0,475.0,461.04998779296875,470.0,6600
2023-10-16,445.04998779296875,469.8500061035156,445.04998779296875,465.0,4200
2023-10-17,455.0,466.0,455.0,466.0,1800
2023-10-18,442.25,465.0,442.25,464.95001220703125,2400
2023-10-19,435.0,442.25,435.0,442.25,1200
2023-10-20,452.0,463.79998779296875,451.04998779296875,463.79998779296875,3600
2023-10-23,430.0,435.0,430.0,431.20001220703125,5400
2023-10-25,429.0,432.0,429.0,430.0,3000
2023-10-26,427.0,427.0,427.0,427.0,600
2023-10-27,435.0,435.0,423.0,423.0,5400
2023-10-30,450.0,450.0,450.0,450.0,1200
2023-10-31,472.45001220703125,480.0,468.0,480.0,6000
2023-11-01,466.0,479.5,466.0,479.5,4200
2023-11-02,453.54998779296875,469.95001220703125,453.54998779296875,460.0,3000
2023-11-03,453.54998779296875,453.54998779296875,453.54998779296875,453.54998779296875,0
2023-11-06,455.45001220703125,468.0,455.1000061035156,468.0,4200
2023-11-07,448.79998779296875,450.0,435.0,450.0,3000
2023-11-08,439.0,439.0,439.0,439.0,1200
2023-11-09,444.0,454.95001220703125,444.0,454.0,11400
2023-11-10,449.25,455.0,442.0,442.0,6000
2023-11-13,408.3500061035156,420.0,401.5,420.0,15600
2023-11-15,435.6499938964844,441.0,411.25,415.0,20400
2023-11-16,429.75,439.95001220703125,429.75,435.6499938964844,5400
2023-11-17,430.0,440.0,422.5,439.70001220703125,7800
2023-11-20,418.75,424.0,415.20001220703125,424.0,3000
2023-11-21,416.1499938964844,416.8999938964844,341.0,341.0,15000
2023-11-22,425.0,427.5,425.0,427.5,1200
2023-11-23,426.8999938964844,426.8999938964844,426.8999938964844,426.8999938964844,600
2023-11-24,410.20001220703125,425.0,410.0,425.0,4200
2023-11-28,400.1000061035156,410.0,395.0,410.0,24600
2023-11-29,449.25,450.0,402.04998779296875,402.04998779296875,27000
