Date,Close,High,Low,Open,Volume
2023-06-13,137.00384521484375,138.79278419241126,135.5627335777317,138.14678013552592,420746
2023-06-14,142.96702575683594,143.86149530928827,137.25232041639788,137.60016294673932,1100622
2023-06-15,139.98544311523438,144.65659062627103,139.2897277106122,142.12223995763722,465209
2023-06-16,140.58175659179688,142.86764189514489,139.38912539682832,139.63759086099378,258858
2023-06-19,139.98544311523438,142.32100928818878,139.19035062790036,141.62530904869445,222871
2023-06-20,140.134521484375,142.02285294187195,138.84249804050046,139.9854482722515,274669
2023-06-21,139.68727111816406,141.52590624503972,138.2461746227408,140.28357906534265,257488
2023-06-22,139.2897186279297,140.4326687430463,133.97256734803472,140.4326687430463,433176
2023-06-23,141.1283721923828,143.76209983273907,136.90445964437134,139.43881020620367,641385
2023-06-26,142.6688690185547,143.3148731433122,138.1964907744942,141.2277723951608,368622
2023-06-27,143.2651824951172,146.04799876415592,141.27745875510792,143.066413154142,547054
2023-06-28,143.21548461914062,145.60074675938702,142.1222306252037,143.96088093360848,221159
2023-06-30,141.87376403808594,145.45167238460675,141.62529860194218,143.61302209109223,206507
2023-07-03,139.53819274902344,144.06026703994493,137.79893457290962,141.8737740801417,296559
2023-07-04,139.19033813476562,140.92959615995696,136.2584490681827,140.53204236940877,392514
2023-07-05,142.81793212890625,143.91118613287023,139.19034276460874,139.19034276460874,338147
2023-07-06,145.5510711669922,148.33388749984763,141.77439294134047,142.81795096180238,421871
2023-07-07,146.3461456298828,147.88663440638067,142.66886011397398,146.04798406586272,359603
2023-07-10,144.70628356933594,148.43326530448235,143.41426020145968,146.34614946674935,371257
2023-07-11,148.73141479492188,151.06699613008954,144.8056636521984,145.50136389082456,556821
2023-07-12,150.32159423828125,151.01729445131727,147.34000889801783,148.73140932408984,272166
2023-07-13,146.64431762695312,152.06086162569235,144.85536328068406,150.32160340448345,335910
2023-07-14,146.84307861328125,150.4209871023969,145.74982458462722,147.48908270695034,198095
2023-07-17,146.19708251953125,148.88050645064155,144.95475522132017,147.5884830274764,207623
2023-07-18,146.3461456298828,148.5823346123428,144.01056440437372,146.99214971432042,273361
2023-07-19,155.68844604492188,157.03016555080578,146.34615112250728,146.34615112250728,768927
2023-07-20,155.73812866210938,157.52708279310045,151.31544703627472,155.6884325430295,590086
2023-07-21,152.955322265625,155.68844216758802,151.76269115961205,154.74427650720807,279827
2023-07-24,153.89950561523438,158.47126079078646,152.2099284251174,152.85594769343493,260582
2023-07-25,154.4958038330078,158.4215546573053,153.5019420969767,154.5454999528347,230175
2023-07-26,154.24734497070312,157.4276996284762,153.35287543621695,155.34059899296602,139164
2023-07-27,153.3031768798828,155.58906196687082,152.35901123844542,155.14182720672963,132837
2023-07-28,152.70492553710938,154.94838682441917,151.75768936980103,154.44983987168368,138982
2023-07-31,153.60231018066406,157.04228091009142,153.05390552189863,153.35303671890202,216109
2023-08-01,154.39999389648438,162.92513442613281,153.55245801000171,154.84868310102715,782782
2023-08-02,153.60231018066406,156.94256543960873,152.15652714533311,154.39998830119157,314280
