Date,Close,High,Low,Open,Volume
2023-06-13,180.0,180.0,167.0,167.0,2000
2023-06-14,179.0,188.0,179.0,180.0,11000
2023-06-15,175.0,180.0,175.0,180.0,4000
2023-06-16,179.0,180.0,179.0,180.0,3000
2023-06-19,171.5,171.5,170.0,170.0,2000
2023-06-20,171.5,171.5,171.5,171.5,0
2023-06-21,167.0,171.5,167.0,171.5,8000
2023-06-22,164.0,166.5,162.0,166.5,3000
2023-06-23,167.0,177.0,160.0,160.0,21000
2023-06-26,182.0,184.0,175.0,175.0,6000
2023-06-27,171.0,171.0,166.5,166.5,26000
2023-06-28,180.75,183.89999389648438,173.8000030517578,180.0,12000
2023-06-30,176.25,189.0,168.1999969482422,189.0,22000
2023-07-03,190.35000610351562,191.0,184.85000610351562,184.85000610351562,8000
2023-07-04,190.0,198.0,190.0,190.0,6000
2023-07-05,205.0,210.0,197.6999969482422,197.6999969482422,26000
2023-07-06,200.8000030517578,210.0,200.0,210.0,11000
2023-07-07,194.64999389648438,194.64999389648438,194.64999389648438,194.64999389648438,1000
2023-07-10,213.9499969482422,215.0,195.0,200.0,41000
2023-07-11,207.5,215.0,205.5,215.0,15000
2023-07-12,205.0,205.0,200.0,200.10000610351562,8000
2023-07-13,205.0,205.0,200.0,200.0,5000
2023-07-14,187.64999389648438,205.0,185.0,205.0,17000
2023-07-17,190.0,190.0,181.8000030517578,188.3000030517578,16000
2023-07-18,181.60000610351562,184.0,181.60000610351562,184.0,6000
2023-07-19,181.60000610351562,184.0,181.60000610351562,182.25,3000
2023-07-20,181.60000610351562,181.60000610351562,181.60000610351562,181.60000610351562,0
2023-07-21,176.0,181.60000610351562,176.0,181.60000610351562,8000
2023-07-24,208.60000610351562,211.1999969482422,181.0,181.0,65000
2023-07-25,210.0500030517578,220.0,209.0,218.0,32000
2023-07-26,209.9499969482422,217.0,200.0,214.0,15000
2023-07-27,200.0,200.0,200.0,200.0,1000
2023-07-28,214.0,214.0,198.5,205.0,25000
2023-07-31,256.79998779296875,256.79998779296875,223.0,223.0,162000
2023-08-01,268.70001220703125,277.8999938964844,255.5,269.0,109000
2023-08-02,276.04998779296875,295.0,268.0,295.0,126000
2023-08-03,315.0,330.0,286.0,292.0,100000
2023-08-04,342.1499938964844,345.0,305.0,311.0,78000
2023-08-07,353.5,369.95001220703125,331.25,359.95001220703125,46000
2023-08-08,332.0,355.0,318.1499938964844,350.0,31000
2023-08-09,336.29998779296875,344.8999938964844,303.0,330.0,50000
2023-08-10,351.25,358.0,335.0,339.0,47000
2023-08-11,365.6499938964844,378.0,351.25,360.1000061035156,30000
2023-08-14,360.0,362.95001220703125,350.0,350.0,18000
2023-08-16,377.0,384.5,356.0,356.0,15000
2023-08-17,393.70001220703125,397.8999938964844,380.0,380.0,22000
2023-08-18,376.3500061035156,394.0,374.0,394.0,32000
2023-08-21,340.3500061035156,365.1000061035156,338.75,365.0,71000
2023-08-22,358.95001220703125,360.0,350.0,351.95001220703125,8000
2023-08-23,348.6499938964844,360.0,339.95001220703125,360.0,19000
2023-08-24,338.5,359.0,338.5,358.0,10000
2023-08-25,345.0,346.8500061035156,330.0,344.95001220703125,16000
2023-08-28,368.29998779296875,373.5,350.0,350.0,29000
2023-08-29,363.0,380.0,363.0,376.0,23000
2023-08-30,352.0,352.20001220703125,352.0,352.20001220703125,2000
