Date,Close,High,Low,Open,Volume
2023-06-13,112.5,117.5,112.5,117.5,118
2023-06-14,112.5,112.5,107.5,107.5,176
2023-06-15,117.5,117.5,112.5,112.5,0
2023-06-16,122.5,122.5,112.5,115.0,85
2023-06-19,127.5,127.5,127.5,127.5,2
2023-06-20,127.5,127.5,127.5,127.5,0
2023-06-21,125.0,125.0,125.0,125.0,20
2023-06-22,125.0,125.0,125.0,125.0,0
2023-06-23,132.5,132.5,127.5,132.5,4
2023-06-26,132.5,132.5,130.0,130.0,20
2023-06-27,127.5,130.0,127.5,130.0,59
2023-06-28,122.5,122.5,122.5,122.5,8
2023-06-30,117.5,117.5,117.5,117.5,75
2023-07-03,117.5,117.5,117.5,117.5,0
2023-07-04,112.5,112.5,112.5,112.5,25
2023-07-05,107.5,112.5,107.5,107.5,375
2023-07-06,102.5,102.5,102.5,102.5,777
2023-07-07,102.5,102.5,97.5,97.5,221
2023-07-10,100.0,107.5,97.5,102.5,525
2023-07-11,105.0,105.0,97.5,97.5,203
2023-07-12,100.0,100.0,100.0,100.0,57
2023-07-13,100.0,100.0,100.0,100.0,31
2023-07-14,97.5,105.0,95.0,105.0,59
2023-07-17,100.0,100.0,92.5,95.0,47
2023-07-18,105.0,105.0,97.5,100.0,10
2023-07-19,100.0,105.0,100.0,105.0,101
2023-07-20,100.0,100.0,100.0,100.0,2
2023-07-21,105.0,105.0,97.5,100.0,41
2023-07-24,100.0,105.0,100.0,105.0,106
2023-07-25,100.0,105.0,95.0,102.5,475
2023-07-26,97.5,102.5,95.0,102.5,21
2023-07-27,97.5,97.5,97.5,97.5,7
2023-07-28,100.0,100.0,95.0,95.0,141
2023-07-31,95.0,102.5,95.0,100.0,27
2023-08-01,97.5,97.5,95.0,95.0,9
2023-08-02,100.0,100.0,97.5,100.0,154
2023-08-03,95.0,105.0,95.0,105.0,126
2023-08-04,97.5,97.5,95.0,95.0,11
2023-08-07,100.0,100.0,95.0,95.0,1
2023-08-08,100.0,100.0,95.0,100.0,254
2023-08-09,97.5,102.5,95.0,95.0,287
2023-08-10,92.5,97.5,92.5,97.5,100
2023-08-11,95.0,95.0,92.5,92.5,62
2023-08-14,95.0,95.0,95.0,95.0,0
2023-08-16,95.0,95.0,95.0,95.0,2
2023-08-17,97.5,97.5,95.0,97.5,22
2023-08-18,97.5,97.5,97.5,97.5,29
2023-08-21,97.5,97.5,92.5,97.5,25
2023-08-22,100.0,100.0,92.5,100.0,104
2023-08-23,100.0,100.0,100.0,100.0,2
2023-08-24,100.0,105.0,95.0,95.0,39
2023-08-25,100.0,100.0,100.0,100.0,0
2023-08-28,95.0,105.0,95.0,105.0,24
2023-08-29,95.0,95.0,95.0,95.0,2
2023-08-30,97.5,97.5,97.5,97.5,130
2023-08-31,97.5,100.0,97.5,97.5,332
2023-09-01,100.0,100.0,100.0,100.0,20
2023-09-04,105.0,105.0,95.0,95.0,152
2023-09-05,105.0,110.0,100.0,110.0,213
2023-09-06,107.5,107.5,105.0,107.5,125
2023-09-07,107.5,107.5,102.5,107.5,46
2023-09-08,107.5,107.5,102.5,107.5,91
2023-09-11,107.5,110.0,102.5,102.5,106
2023-09-12,102.5,107.5,102.5,102.5,108
2023-09-13,97.5,107.5,97.5,102.5,234
2023-09-14,100.0,100.0,97.5,97.5,193
2023-09-15,105.0,105.0,95.0,95.0,38
2023-09-18,105.0,105.0,105.0,105.0,134
2023-09-20,110.0,110.0,100.0,100.0,49
2023-09-21,105.0,105.0,105.0,105.0,73
2023-09-22,110.0,110.0,105.0,110.0,137
2023-09-25,110.0,110.0,110.0,110.0,323
2023-09-26,110.0,110.0,105.0,110.0,2
2023-09-27,107.5,107.5,105.0,105.0,65
2023-09-28,107.5,107.5,102.5,107.5,0
2023-09-29,112.5,112.5,105.0,105.0,682
2023-10-03,107.5,115.0,107.5,115.0,94
2023-10-04,112.5,112.5,102.5,107.5,46
2023-10-05,112.5,112.5,112.5,112.5,114
2023-10-06,112.5,112.5,112.5,112.5,2
2023-10-09,112.5,112.5,112.5,112.5,52
2023-10-10,112.5,112.5,112.5,112.5,40
2023-10-11,107.5,112.5,107.5,112.5,146
2023-10-12,112.5,112.5,105.0,107.5,120
2023-10-13,110.0,117.5,107.5,112.5,258
2023-10-16,115.0,115.0,105.0,110.0,94
2023-10-17,110.0,120.0,110.0,117.5,153
2023-10-18,115.0,115.0,115.0,115.0,42
2023-10-19,110.0,120.0,110.0,117.5,83
2023-10-20,107.5,115.0,107.5,115.0,35
2023-10-23,110.0,110.0,105.0,107.5,130
2023-10-25,105.0,115.0,105.0,110.0,31
2023-10-26,100.0,107.5,100.0,107.5,58
2023-10-27,105.0,105.0,105.0,105.0,1
2023-10-30,107.5,110.0,107.5,110.0,50
2023-10-31,107.5,107.5,107.5,107.5,0
2023-11-01,112.5,112.5,112.5,112.5,7
2023-11-02,112.5,112.5,112.5,112.5,0
2023-11-03,117.5,117.5,112.5,112.5,39
2023-11-06,122.5,122.5,112.5,122.5,123
2023-11-07,127.5,127.5,117.5,122.5,19
2023-11-08,132.5,132.5,122.5,132.5,723
2023-11-09,132.5,132.5,132.5,132.5,0
2023-11-10,137.5,137.5,132.5,132.5,243
2023-11-13,147.5,147.5,140.0,145.0,462
2023-11-15,152.5,152.5,152.5,152.5,222
2023-11-16,160.0,160.0,160.0,160.0,150
2023-11-17,167.5,167.5,167.5,167.5,131
2023-11-20,175.0,175.0,160.0,175.0,397
2023-11-21,182.5,182.5,182.5,182.5,285
2023-11-22,190.0,190.0,185.0,190.0,208
2023-11-23,197.5,197.5,195.0,197.5,151
2023-11-24,205.0,205.0,202.5,205.0,637
2023-11-28,215.0,215.0,215.0,215.0,536
2023-11-29,212.5,212.5,212.5,212.5,596
2023-11-30,210.0,210.0,210.0,210.0,510
2023-12-01,212.5,212.5,207.5,212.5,214
2023-12-04,212.5,212.5,212.5,212.5,243
2023-12-05,210.0,212.5,210.0,210.0,8
2023-12-06,207.5,207.5,207.5,207.5,2
2023-12-07,210.0,210.0,205.0,210.0,593
2023-12-08,212.5,212.5,212.5,212.5,63
2023-12-11,215.0,215.0,215.0,215.0,242
2023-12-12,217.5,217.5,217.5,217.5,4
2023-12-13,220.0,220.0,220.0,220.0,4
2023-12-14,222.5,222.5,220.0,222.5,173
2023-12-15,225.0,225.0,225.0,225.0,61
2023-12-18,225.0,227.5,225.0,225.0,1
2023-12-19,222.5,227.5,222.5,222.5,312
2023-12-20,225.0,225.0,222.5,225.0,413
2023-12-21,222.5,222.5,222.5,222.5,95
2023-12-22,220.0,222.5,220.0,220.0,126
2023-12-26,217.5,222.5,217.5,217.5,31
2023-12-27,215.0,215.0,215.0,215.0,1
2023-12-28,212.5,212.5,212.5,212.5,5
2023-12-29,212.5,215.0,212.5,212.5,48
2024-01-01,210.0,212.5,210.0,210.0,25
2024-01-02,210.0,210.0,210.0,210.0,10
2024-01-03,207.5,210.0,207.5,207.5,55
2024-01-04,205.0,207.5,205.0,205.0,42
2024-01-05,207.5,207.5,207.5,207.5,44
2024-01-08,217.5,217.5,217.5,217.5,507
2024-01-09,227.5,227.5,227.5,227.5,100
2024-01-10,237.5,237.5,235.0,235.0,28
2024-01-11,247.5,247.5,247.5,247.5,41
2024-01-12,257.5,257.5,252.5,257.5,156
2024-01-15,270.0,270.0,270.0,270.0,59
2024-01-16,282.5,282.5,282.5,282.5,89
2024-01-17,287.5,287.5,285.0,287.5,35
2024-01-18,292.5,292.5,292.5,292.5,28
2024-01-19,297.5,297.5,297.5,297.5,116
2024-01-23,307.5,307.5,302.5,307.5,36
2024-01-24,310.0,312.5,310.0,310.0,38
2024-01-25,310.0,315.0,310.0,310.0,270
2024-01-29,305.0,310.0,305.0,305.0,28
2024-01-30,300.0,305.0,300.0,300.0,12
2024-01-31,300.0,305.0,300.0,300.0,238
2024-02-01,300.0,300.0,300.0,300.0,0
2024-02-02,300.0,300.0,300.0,295.0,0
2024-02-05,295.0,295.0,295.0,295.0,24
2024-02-06,290.0,290.0,290.0,290.0,13
2024-02-07,285.0,290.0,285.0,285.0,4
2024-02-08,280.0,280.0,280.0,280.0,2
2024-02-09,275.0,275.0,275.0,275.0,6
2024-02-12,270.0,270.0,270.0,270.0,61
2024-02-13,265.0,265.0,265.0,265.0,45
2024-02-14,260.0,260.0,260.0,260.0,232
2024-02-15,265.0,265.0,255.0,265.0,129
2024-02-16,265.0,265.0,265.0,265.0,12
2024-02-19,260.0,265.0,260.0,260.0,66
2024-02-20,255.0,255.0,255.0,255.0,400
2024-02-21,250.0,250.0,250.0,250.0,361
2024-02-22,255.0,255.0,255.0,255.0,45
2024-02-23,260.0,260.0,260.0,260.0,37
2024-02-26,272.5,272.5,272.5,272.5,227
2024-02-27,267.5,285.0,260.0,285.0,800
2024-02-28,262.5,280.0,255.0,267.5,416
2024-02-29,275.0,275.0,252.5,270.0,234
2024-03-01,265.0,287.5,262.5,282.5,814
2024-03-04,252.5,277.5,252.5,265.0,234
2024-03-05,262.5,265.0,240.0,265.0,325
2024-03-06,275.0,275.0,250.0,275.0,225
2024-03-07,262.5,287.5,262.5,285.0,1193
2024-03-11,265.0,275.0,250.0,275.0,46
2024-03-12,252.5,275.0,252.5,275.0,194
2024-03-13,240.0,252.5,240.0,252.5,9
2024-03-14,250.0,250.0,230.0,240.0,104
2024-03-15,237.5,262.5,237.5,262.5,49
2024-03-18,232.5,235.0,230.0,235.0,8
2024-03-19,232.5,232.5,222.5,232.5,2
2024-03-20,232.5,237.5,222.5,237.5,185
