Date,Close,High,Low,Open,Volume
2023-06-13,20.149999618530273,22.0,20.0,20.0,186260
2023-06-14,20.450000762939453,21.25,20.100000381469727,20.549999237060547,74157
2023-06-15,19.549999237060547,21.0,19.200000762939453,20.25,91550
2023-06-16,19.200000762939453,20.850000381469727,18.799999237060547,20.850000381469727,148487
2023-06-19,22.799999237060547,23.0,19.75,20.399999618530273,1395844
2023-06-20,27.350000381469727,27.350000381469727,23.149999618530273,23.350000381469727,3305941
2023-06-21,29.649999618530273,30.049999237060547,27.649999618530273,27.75,2851001
2023-06-22,28.200000762939453,29.450000762939453,28.200000762939453,29.450000762939453,62560
2023-06-23,26.799999237060547,26.799999237060547,26.799999237060547,26.799999237060547,17856
2023-06-26,25.5,25.5,25.5,25.5,18800
2023-06-27,24.25,25.0,24.25,24.25,84015
2023-06-28,23.049999237060547,23.049999237060547,23.049999237060547,23.049999237060547,14297
2023-06-30,24.200000762939453,24.200000762939453,21.899999618530273,21.899999618530273,174389
2023-07-03,25.350000381469727,25.399999618530273,23.200000762939453,24.799999237060547,184089
2023-07-04,24.100000381469727,25.600000381469727,24.100000381469727,25.5,109562
2023-07-05,25.299999237060547,25.299999237060547,23.0,23.0,140407
2023-07-06,26.549999237060547,26.549999237060547,26.5,26.5,64805
2023-07-07,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,90490
2023-07-10,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,0
2023-07-11,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,0
2023-07-12,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,0
2023-07-13,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,0
2023-07-14,27.850000381469727,27.850000381469727,27.850000381469727,27.850000381469727,0
2023-07-17,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,2259
2023-07-18,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0
2023-07-19,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0
2023-07-20,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0
2023-07-21,27.299999237060547,27.299999237060547,27.299999237060547,27.299999237060547,0
2023-07-24,26.75,26.75,26.75,26.75,3379
2023-07-25,26.25,26.25,26.25,26.25,124
2023-07-26,25.75,25.75,25.75,25.75,215
2023-07-27,25.25,25.25,25.25,25.25,78
2023-07-28,24.75,24.75,24.75,24.75,650
2023-07-31,24.25,24.25,24.25,24.25,3539
2023-08-01,23.799999237060547,23.799999237060547,23.799999237060547,23.799999237060547,1568
