Date,Close,High,Low,Open,Volume
2023-06-13,154.64999389648438,154.64999389648438,154.64999389648438,154.64999389648438,1200
2023-06-14,146.9499969482422,146.9499969482422,146.9499969482422,146.9499969482422,2300
2023-06-15,139.60000610351562,139.60000610351562,139.60000610351562,139.60000610351562,4100
2023-06-16,132.64999389648438,132.64999389648438,132.64999389648438,132.64999389648438,10100
2023-06-19,126.05000305175781,126.05000305175781,126.05000305175781,126.05000305175781,3400
2023-06-20,119.75,126.05000305175781,119.75,119.75,37800
2023-06-21,125.69999694824219,125.69999694824219,113.80000305175781,113.80000305175781,312000
2023-06-22,131.9499969482422,131.9499969482422,124.0,130.89999389648438,156200
2023-06-23,138.5,138.5,138.25,138.5,76700
2023-06-26,145.39999389648438,145.39999389648438,144.0500030517578,145.0,95900
2023-06-27,152.64999389648438,152.64999389648438,138.14999389648438,151.89999389648438,260500
2023-06-28,145.35000610351562,159.89999389648438,145.0500030517578,159.89999389648438,102100
2023-06-30,138.10000610351562,145.35000610351562,138.10000610351562,145.35000610351562,43900
2023-07-03,131.1999969482422,131.1999969482422,131.1999969482422,131.1999969482422,5000
2023-07-04,124.6500015258789,124.6500015258789,124.6500015258789,124.6500015258789,2800
2023-07-05,118.44999694824219,118.44999694824219,118.44999694824219,118.44999694824219,2700
2023-07-06,112.55000305175781,112.55000305175781,112.55000305175781,112.55000305175781,6400
2023-07-07,106.94999694824219,106.94999694824219,106.94999694824219,106.94999694824219,5600
2023-07-10,101.5999984741211,101.5999984741211,101.5999984741211,101.5999984741211,6400
2023-07-11,106.6500015258789,106.6500015258789,96.55000305175781,96.55000305175781,250700
2023-07-12,111.94999694824219,111.94999694824219,110.0,111.8499984741211,38800
2023-07-13,117.5,117.5,112.0,112.0,42800
2023-07-14,123.3499984741211,123.3499984741211,120.0,123.3499984741211,14500
2023-07-17,129.5,129.5,120.0,129.5,27100
2023-07-18,135.89999389648438,135.9499969482422,130.0,135.9499969482422,41400
2023-07-19,129.10000610351562,142.64999389648438,129.10000610351562,142.64999389648438,27900
2023-07-20,122.6500015258789,122.94999694824219,122.6500015258789,122.94999694824219,4500
2023-07-21,121.05000305175781,126.9000015258789,116.55000305175781,120.19999694824219,21700
