Date,Close,High,Low,Open,Volume
2023-06-13,73.30000305175781,73.30000305175781,73.25,73.25,3000
2023-06-14,73.0,73.0,73.0,73.0,1500
2023-06-15,72.5,73.0,71.19999694824219,71.5,10500
2023-06-16,76.6500015258789,77.3499984741211,74.0,74.9000015258789,15000
2023-06-19,76.6500015258789,76.6500015258789,76.6500015258789,76.6500015258789,0
2023-06-20,74.75,74.80000305175781,74.75,74.75,4500
2023-06-21,74.75,74.75,74.75,74.75,0
2023-06-22,73.94999694824219,75.9000015258789,72.94999694824219,75.9000015258789,10500
2023-06-23,74.0,74.0,74.0,74.0,1500
2023-06-26,75.0,75.0,75.0,75.0,1500
2023-06-27,75.0,75.0,75.0,75.0,1500
2023-06-28,72.0999984741211,72.0999984741211,71.25,71.25,7500
2023-06-30,73.0,74.5999984741211,73.0,74.5999984741211,7500
2023-07-03,73.0,73.0,73.0,73.0,1500
2023-07-04,71.9000015258789,71.9000015258789,71.5,71.69999694824219,4500
2023-07-05,73.0,73.0,72.0,72.0,3000
2023-07-06,73.0,73.0,73.0,73.0,0
2023-07-07,71.30000305175781,72.94999694824219,71.0,71.1500015258789,9000
2023-07-10,73.30000305175781,75.3499984741211,72.0,74.0,9000
2023-07-11,74.75,76.5,74.75,74.94999694824219,4500
2023-07-12,72.0,74.75,72.0,74.75,9000
2023-07-13,71.0,72.25,71.0,72.25,12000
2023-07-14,74.0,74.0,72.9000015258789,72.9000015258789,4500
2023-07-17,71.0,71.0,70.19999694824219,70.19999694824219,6000
2023-07-18,79.6500015258789,82.8499984741211,75.0,76.19999694824219,51000
2023-07-19,78.0999984741211,78.0999984741211,78.0,78.0,3000
2023-07-20,83.6500015258789,92.3499984741211,79.5,84.9000015258789,181500
2023-07-21,93.05000305175781,96.9000015258789,87.5,87.5,156000
2023-07-24,106.75,109.44999694824219,96.19999694824219,97.8499984741211,274500
2023-07-25,101.44999694824219,110.0,100.5,107.5,103500
2023-07-26,111.55000305175781,111.55000305175781,105.05000305175781,106.0,105000
2023-07-27,122.69999694824219,122.69999694824219,110.19999694824219,117.80000305175781,432000
2023-07-28,126.55000305175781,134.5,123.5,133.60000610351562,253500
2023-07-31,135.4499969482422,137.35000610351562,128.5,128.6999969482422,126000
2023-08-01,128.6999969482422,140.8000030517578,128.6999969482422,140.8000030517578,45000
2023-08-02,124.0,127.30000305175781,122.3499984741211,127.30000305175781,64500
2023-08-03,130.1999969482422,130.1999969482422,125.94999694824219,125.94999694824219,102000
2023-08-04,130.0,134.89999389648438,130.0,132.0,18000
2023-08-07,136.5,136.5,132.9499969482422,132.9499969482422,90000
2023-08-08,143.3000030517578,143.3000030517578,143.25,143.25,19500
2023-08-09,150.4499969482422,150.4499969482422,150.4499969482422,150.4499969482422,6000
2023-08-10,142.9499969482422,157.9499969482422,142.9499969482422,157.9499969482422,469500
2023-08-11,147.8000030517578,150.0500030517578,143.14999389648438,143.5,124500
2023-08-14,143.4499969482422,148.89999389648438,140.60000610351562,141.5500030517578,43500
2023-08-16,140.0,147.9499969482422,140.0,147.9499969482422,7500
2023-08-17,139.0,141.0,139.0,141.0,9000
2023-08-18,137.0500030517578,138.0,137.0,138.0,7500
2023-08-21,141.64999389648438,142.0,139.0,139.0,16500
2023-08-22,139.10000610351562,141.64999389648438,137.0,141.0,49500
2023-08-23,132.75,139.0,132.14999389648438,139.0,39000
